id,kind,execution_mode,query_complexity,planner_ms,query_ms,total_ms,passed,failure_type
CQ-001,complex,DETERMINISTIC,complex,54.67230000067502,27.196099996217526,82.21330000378657,True,
CQ-002,complex,DETERMINISTIC,complex,46.98249998909887,28.270599999814294,75.50569999148138,True,
CQ-003,complex,DETERMINISTIC,complex,47.762599991983734,25.771300002816133,73.72840000607539,True,
CQ-004,complex,DETERMINISTIC,complex,49.35570000088774,23.31850001064595,72.87560000258964,True,
CQ-005,complex,DETERMINISTIC,complex,48.98449999745935,26.537300000200048,75.77510000555776,True,
CQ-006,complex,DETERMINISTIC,complex,48.23630000464618,24.337299997569062,72.67660000070464,True,
CQ-007,complex,DETERMINISTIC,complex,50.61950000526849,29.138500001863576,80.01520000107121,True,
CQ-008,complex,DETERMINISTIC,complex,46.43660000874661,32.14310000475962,78.80410000507254,True,
CQ-009,complex,DETERMINISTIC,simple,48.15000000235159,23.311099997954443,71.68669998645782,True,
CQ-010,complex,DETERMINISTIC,complex,43.60790000646375,25.373600001330487,69.19019999622833,False,COMPLEX_DECOMPOSITION_ERROR
CQ-011,complex,DETERMINISTIC,complex,43.60540000197943,23.554100000183098,67.34449999930803,False,COMPLEX_DECOMPOSITION_ERROR
CQ-012,complex,DETERMINISTIC,simple,73.08039999043103,22.89500000188127,96.06329999223817,True,
CQ-013,complex,DETERMINISTIC,complex,42.87530000146944,21.166600010474212,64.22000000020489,True,
CQ-014,complex,DETERMINISTIC,complex,42.37409999768715,25.955099990824237,68.68840000242926,True,
CQ-015,complex,DETERMINISTIC,complex,52.68560000695288,34.510299999965355,87.43980000144802,True,
CQ-016,complex,REAL_LLM,simple,12864.395800002967,34.77790000033565,12899.492800002918,False,RESULT_COMPARISON_ERROR
CQ-017,complex,CLARIFICATION,simple,0.16239999968092889,0.0,0.16400001186411828,False,COMPLEX_DECOMPOSITION_ERROR
CQ-018,complex,CLARIFICATION,simple,0.05060000694356859,0.0,0.05149999924469739,True,
CQ-019,complex,REFUSAL,simple,0.04650000482797623,0.0,0.047299996367655694,True,
CQ-020,complex,DETERMINISTIC,complex,43.61740000604186,22.991799996816553,66.82700000237674,True,
MT-001,multiturn,DETERMINISTIC,simple,43.25760000210721,21.909500006586313,65.3491999983089,False,STATE_CLASSIFICATION_ERROR
MT-002,multiturn,DETERMINISTIC,simple,0.3263000107835978,23.69879999605473,24.191200005589053,True,
MT-003,multiturn,DETERMINISTIC,simple,0.26190000062342733,23.37400001124479,23.789099999703467,True,
MT-004,multiturn,DETERMINISTIC,simple,0.33629999961704016,23.271199999726377,23.765399993862957,True,
MT-005,multiturn,DETERMINISTIC,simple,0.2808999997796491,22.449199997936375,22.920000003068708,True,
MT-006,multiturn,DETERMINISTIC,simple,45.49260000931099,24.442800000542775,70.12820000818465,False,STATE_CLASSIFICATION_ERROR
MT-007,multiturn,DETERMINISTIC,simple,0.2615999983390793,22.593299989239313,23.061999992933124,True,
MT-008,multiturn,DETERMINISTIC,simple,0.23530000180471689,22.940099996048957,23.344000001088716,True,
MT-009,multiturn,DETERMINISTIC,simple,0.20650000078603625,21.883599998545833,22.270100002060644,True,
MT-010,multiturn,CLARIFICATION,simple,43.97669999161735,0.0,43.978299989248626,True,
MT-011,multiturn,DETERMINISTIC,simple,43.51740000129212,27.598100001341663,71.31060000392608,True,
MT-012,multiturn,DETERMINISTIC,complex,47.8791000059573,22.60029999888502,70.56500000180677,False,STATE_MERGE_ERROR
MT-013,multiturn,DETERMINISTIC,complex,43.95180000574328,22.15220000653062,66.38699999894015,True,
MT-014,multiturn,DETERMINISTIC,simple,0.23160000273492187,24.497099992004223,24.907099999836646,True,
MT-015,multiturn,REFUSAL,simple,0.06980000762268901,0.0,0.07110000296961516,False,STATE_CLASSIFICATION_ERROR
